Country,GHG_Emission_Per_Capita,Total GHG Emissions (tonnes?),GDP per capita (current $US),GDP per capita growth (% change),GINI_Index
Uganda,1.121911848,109490378.3,963.0673142,1.489270851,
Ukraine,5.273600673,206346482.9,4199.670898,-22.7456813,
United Arab Emirates,26.5641202,286675891.4,49899.0653,2.176083438,
United Kingdom,6.013246258,423057725.2,46062.99141,3.877600166,
United States,18.10150348,5197408785,77860.91129,1.923861729,41.7
Uruguay,12.4308409,29994754.46,20818.61461,4.664391249,40.6
Uzbekistan,6.190777601,218525654,2578.666894,3.891995112,31.2
Vanuatu,2.104163605,-6351080.649,3292.341088,2.774357049,
"Venezuela, RB",5.100978743,139278134.6, ,,
Viet Nam,4.75147259,449692567.2,4147.697772,7.725699088,36.1
Virgin Islands (U.S.),0.231470502,37391.14188,44320.90919,-0.883383819,
"Yemen, Rep.",0.867935736,36119043.13, ,,
Zambia,1.480965207,77421587.94,1447.123101,2.343364502,51.5
Zimbabwe,1.856076673,46423947.82,2040.546587,4.343581555,
